,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
12-15,-8.5,37.5,38.5,30.0,36.0,,30.0,18.5,34.5,42.5,41.5,24.0,20.0,36.5
12-16,13.0,42.5,26.0,27.0,32.0,,23.0,19.5,27.0,39.5,42.5,24.0,29.0,34.0
12-17,25.5,38.5,24.5,29.0,36.5,,29.5,10.0,-6.0,31.5,42.5,28.5,34.0,27.5
12-18,16.5,30.0,25.5,41.5,33.5,,33.0,29.5,3.5,37.0,41.0,42.0,28.0,24.5
12-19,29.0,32.5,38.0,29.5,15.5,,34.0,38.0,23.5,38.0,39.0,32.0,30.0,44.0
12-20,15.5,38.0,36.5,29.5,28.0,,35.0,37.0,41.5,47.5,33.5,35.5,33.0,42.5
12-21,9.5,45.5,27.5,30.0,38.5,,39.0,35.0,39.5,20.5,43.5,47.0,45.5,43.0
12-22,15.0,36.0,27.5,15.0,40.0,,31.0,37.0,30.5,25.5,26.5,51.5,45.5,46.5
12-23,19.0,20.0,34.0,21.5,40.0,,26.5,29.0,36.5,24.0,31.5,49.5,21.5,47.0
12-24,27.0,12.0,31.5,24.0,25.0,,34.0,25.0,40.5,10.0,33.5,42.0,35.5,40.5
12-25,30.0,11.5,34.5,27.0,8.0,,32.5,20.5,33.0,10.5,33.5,38.5,45.5,40.5
12-26,30.0,25.0,34.5,30.5,9.5,,14.0,11.0,30.0,7.0,28.0,28.0,45.0,36.0
12-27,22.5,15.0,31.5,30.5,16.5,,15.5,14.5,33.0,25.0,21.5,27.5,36.0,29.0
12-28,41.5,17.5,36.0,38.5,20.5,,23.0,13.0,33.0,35.5,15.5,24.5,27.5,24.0
12-29,43.5,24.0,40.5,45.0,18.0,,11.0,12.5,32.0,36.5,22.0,16.5,24.0,22.0
12-30,39.5,21.0,20.0,44.0,25.0,,-9.0,14.0,50.0,23.5,40.0,17.0,25.5,32.0
12-31,35.5,22.0,4.5,37.0,16.5,44.0,8.5,14.0,27.0,14.5,16.0,31.0,31.0,24.0
01-01,45.0,26.0,10.5,27.0,16.0,27.0,15.5,20.5,31.5,15.5,3.5,37.0,32.0,-0.5
01-02,47.5,28.0,25.0,36.0,23.0,26.5,23.0,28.5,33.5,27.0,20.0,36.0,37.5,23.5
01-03,30.5,26.0,18.0,41.5,23.0,43.5,15.0,30.5,21.0,35.0,36.0,33.5,38.0,36.5
01-04,17.0,23.5,22.5,41.5,31.0,22.0,13.0,31.5,8.0,36.5,46.0,45.0,41.5,32.5
01-05,27.0,33.0,31.5,52.5,26.5,1.0,25.5,34.0,1.5,40.5,46.5,34.0,41.5,17.5
01-06,33.0,18.0,39.0,36.0,30.0,13.0,34.5,32.5,6.5,44.0,44.0,33.0,32.0,12.5
01-07,41.0,-1.5,32.5,30.5,37.5,32.0,26.5,31.5,14.0,37.0,34.0,42.5,32.5,37.5
01-08,46.5,11.0,35.0,27.0,39.5,28.0,34.0,23.5,30.0,36.5,36.0,45.0,31.0,33.5
01-09,31.5,25.0,24.5,37.0,41.0,32.0,22.0,17.0,46.5,51.0,36.5,33.5,28.0,26.5
01-10,32.0,32.0,4.5,45.5,35.5,31.5,39.0,18.5,42.0,40.5,44.5,20.0,25.5,40.0
01-11,32.5,34.0,5.0,19.5,21.5,38.0,33.5,26.0,38.5,32.0,38.0,25.0,30.5,43.5
01-12,26.0,38.0,13.5,17.5,-1.0,35.0,25.0,32.0,29.0,35.0,26.0,32.0,35.5,44.0
01-13,31.5,43.0,37.0,33.0,0.5,36.0,27.0,36.5,28.5,33.5,26.0,30.5,50.0,48.0
01-14,35.0,34.0,39.0,39.0,2.0,28.0,30.0,36.0,32.0,38.5,31.5,38.5,35.0,34.5
01-15,35.0,34.5,38.0,45.5,13.5,37.0,39.0,26.0,28.5,13.5,33.5,31.0,30.5,34.0
01-16,46.0,42.0,38.0,28.0,35.5,34.0,45.0,24.0,31.0,15.0,37.5,27.5,36.0,39.5
01-17,40.5,41.5,47.5,15.5,34.5,37.5,44.5,25.0,31.5,33.0,43.0,37.0,38.0,43.0
01-18,46.5,40.5,39.0,30.0,44.0,40.5,50.0,36.5,36.5,46.5,32.0,28.5,30.5,41.0
01-19,48.5,34.5,26.5,46.5,41.0,50.0,44.5,33.0,38.0,51.0,35.0,28.5,30.5,24.0
01-20,48.5,29.0,22.5,43.0,30.5,34.5,34.5,37.0,35.5,37.5,44.0,35.0,40.5,27.5
01-21,56.0,31.5,34.5,48.0,36.5,44.0,23.0,30.5,30.5,25.5,40.0,41.0,37.5,26.0
